Cluster,Popul_Croiss 2019-2018,Prot_Proport Anim/Total En %,Prot_Dispo,Kcal_Dispo/Jour,Importations_Volailles_2018,PIB PPA
1,2.225306277990174,27.68375530477283,62.0534375,2462.0625,28.953125,4880.8390625
2,0.8682585481303919,46.523655727753535,83.63345454545455,2944.109090909091,45.2,15561.298181818182
3,0.38307788324854264,54.066120992891456,100.513,3247.1,850.0,45361.95
4,1.519967640964966,62.46210229493645,111.32666666666667,3553.0,47.666666666666664,109629.40000000001
5,0.3823389972018436,58.506295466918,105.88282051282052,3371.5128205128203,77.64102564102564,39633.74615384616
